Date,Close,High,Low,Open,Volume
7/1/2017,2470.300049,2484.040039,2407.699951,2431.389893,63348090000
8/1/2017,2471.649902,2490.870117,2417.350098,2477.100098,70784900000
9/1/2017,2519.360107,2519.439941,2446.550049,2474.419922,66624120000
10/1/2017,2575.26001,2582.97998,2520.399902,2521.199951,71088550000
11/1/2017,2647.580078,2657.73999,2557.449951,2583.209961,73416960000
12/1/2017,2673.610107,2694.969971,2605.52002,2645.100098,65531700000
1/1/2018,2823.810059,2872.870117,2682.360107,2683.72998,77318690000
2/1/2018,2713.830078,2835.959961,2532.689941,2816.449951,79933970000
3/1/2018,2640.870117,2801.899902,2585.889893,2715.219971,76803890000
4/1/2018,2648.050049,2717.48999,2553.800049,2633.449951,70194700000
5/1/2018,2705.27002,2742.23999,2594.620117,2642.959961,76011820000
6/1/2018,2718.370117,2791.469971,2691.98999,2718.699951,77891360000
7/1/2018,2816.290039,2848.030029,2698.949951,2704.949951,64898300000
8/1/2018,2901.52002,2916.5,2796.340088,2821.169922,69523070000
9/1/2018,2913.97998,2940.909912,2864.120117,2896.959961,63031510000
10/1/2018,2711.73999,2939.860107,2603.540039,2926.290039,91930980000
11/1/2018,2760.169922,2815.149902,2631.090088,2717.580078,80620020000
12/1/2018,2506.850098,2800.179932,2346.580078,2790.5,84162180000
1/1/2019,2704.100098,2708.949951,2443.959961,2476.959961,80859870000
2/1/2019,2784.48999,2813.48999,2681.830078,2702.320068,70638770000
3/1/2019,2834.399902,2860.310059,2722.27002,2798.219971,79159660000
4/1/2019,2945.830078,2949.52002,2848.629883,2848.629883,70090370000
5/1/2019,2752.060059,2954.129883,2750.52002,2952.330078,77250740000
6/1/2019,2941.76001,2964.149902,2728.810059,2751.530029,71250630000
7/1/2019,2980.379883,3027.97998,2952.219971,2971.409912,70599470000
8/1/2019,2926.459961,3013.590088,2822.120117,2980.320068,80269220000
9/1/2019,2976.73999,3021.98999,2891.850098,2909.01001,74178980000
10/1/2019,3037.560059,3050.100098,2855.939941,2983.689941,77720640000
11/1/2019,3140.97998,3154.26001,3050.719971,3050.719971,72410620000
12/1/2019,3230.780029,3247.929932,3070.330078,3143.850098,72325540000
1/1/2020,3225.52002,3337.77002,3214.639893,3244.669922,77287980000
2/1/2020,2954.219971,3393.52002,2855.840088,3235.659912,84436590000
3/1/2020,2584.590088,3136.719971,2191.860107,2974.280029,1.62185E+11
4/1/2020,2912.429932,2954.860107,2447.48999,2498.080078,1.23608E+11
5/1/2020,3044.310059,3068.669922,2766.639893,2869.090088,1.07135E+11
6/1/2020,3100.290039,3233.129883,2965.659912,3038.780029,1.31459E+11
7/1/2020,3271.120117,3279.98999,3101.169922,3105.919922,96928130000
8/1/2020,3500.310059,3514.77002,3284.530029,3288.26001,82466520000
9/1/2020,3363,3588.110107,3209.449951,3507.439941,92310780000
10/1/2020,3269.959961,3549.850098,3233.939941,3385.870117,89938980000
11/1/2020,3621.629883,3645.98999,3279.73999,3296.199951,1.01247E+11
12/1/2020,3756.070068,3760.199951,3633.399902,3645.870117,96375680000
1/1/2021,3714.23999,3870.899902,3662.709961,3764.610107,1.06118E+11
2/1/2021,3811.149902,3950.429932,3725.620117,3731.169922,99082320000
3/1/2021,3972.889893,3994.409912,3723.340088,3842.51001,1.22371E+11
4/1/2021,4181.169922,4218.779785,3992.780029,3992.780029,83124090000
5/1/2021,4204.109863,4238.040039,4056.879883,4191.97998,88321860000
6/1/2021,4297.5,4302.430176,4164.399902,4216.52002,1.02544E+11
7/1/2021,4395.259766,4429.970215,4233.129883,4300.72998,84255620000
8/1/2021,4522.680176,4537.359863,4367.72998,4406.859863,80500760000
9/1/2021,4307.540039,4545.850098,4305.910156,4528.799805,85528860000
10/1/2021,4605.379883,4608.080078,4278.939941,4317.160156,80253600000
11/1/2021,4567,4743.830078,4560,4610.620117,88268840000
12/1/2021,4766.180176,4808.930176,4495.120117,4602.819824,92750180000
1/1/2022,4515.549805,4818.620117,4222.620117,4778.140137,95562890000
2/1/2022,4373.939941,4595.310059,4114.649902,4519.569824,92667710000
3/1/2022,4530.410156,4637.299805,4157.870117,4363.140137,1.23546E+11
4/1/2022,4131.930176,4593.450195,4124.279785,4540.319824,90367840000
5/1/2022,4132.149902,4307.660156,3810.320068,4130.609863,1.0886E+11
6/1/2022,3785.379883,4177.509766,3636.870117,4149.779785,1.06117E+11
7/1/2022,4130.290039,4140.149902,3721.560059,3781,81688320000
8/1/2022,3955,4325.279785,3954.530029,4112.379883,92252350000
9/1/2022,3585.620117,4119.279785,3584.129883,3936.72998,94241020000
10/1/2022,3871.97998,3905.419922,3491.580078,3609.780029,95823760000
11/1/2022,4080.110107,4080.110107,3698.149902,3901.790039,92671910000
12/1/2022,3839.5,4100.959961,3764.48999,4087.139893,85249330000
1/1/2023,4076.600098,4094.209961,3794.330078,3853.290039,80763810000
2/1/2023,3970.149902,4195.439941,3943.080078,4070.070068,80392280000
3/1/2023,4109.310059,4110.75,3808.860107,3963.340088,1.13095E+11
4/1/2023,4169.47998,4170.060059,4049.350098,4102.200195,70861260000
5/1/2023,4179.830078,4231.100098,4048.280029,4166.790039,85190040000
6/1/2023,4450.379883,4458.47998,4171.640137,4183.029785,87983140000
7/1/2023,4588.959961,4607.069824,4385.049805,4450.47998,75063200000
8/1/2023,4507.660156,4584.620117,4335.310059,4578.830078,86840820000
9/1/2023,4288.049805,4541.25,4238.629883,4530.600098,73482980000
10/1/2023,4193.799805,4393.569824,4103.779785,4284.52002,83519460000
11/1/2023,4567.799805,4587.640137,4197.740234,4201.27002,80970570000
12/1/2023,4769.830078,4793.299805,4546.5,4559.430176,81530670000
1/1/2024,4845.649902,4931.089844,4682.109863,4745.200195,81737880000
2/1/2024,5096.27002,5111.060059,4853.52002,4861.109863,82066930000
3/1/2024,5254.350098,5264.850098,5056.819824,5098.509766,86299510000
4/1/2024,5035.689941,5263.950195,4953.560059,5257.970215,81747170000
5/1/2024,5277.509766,5341.879883,5011.049805,5029.029785,86849720000
6/1/2024,5460.47998,5523.640137,5234.319824,5297.149902,76025620000
7/1/2024,5522.299805,5669.669922,5390.950195,5471.080078,80160390000
8/1/2024,5648.399902,5651.620117,5119.259766,5537.839844,81097300000
9/1/2024,5762.47998,5767.370117,5402.620117,5623.890137,79564830000
10/1/2024,5705.450195,5878.459961,5674,5757.72998,82412430000
11/1/2024,6032.379883,6044.169922,5696.509766,5723.220215,84101980000
12/1/2024,5881.629883,6099.970215,5832.299805,6040.109863,86064900000
1/1/2025,6040.529785,6128.180176,5773.310059,5903.259766,88639380000
2/1/2025,5954.5,6147.430176,5837.660156,5969.649902,92317000000
3/1/2025,5611.850098,5986.089844,5488.72998,5968.330078,1.11387E+11
4/1/2025,5569.060059,5695.310059,4835.040039,5597.529785,1.18936E+11
5/1/2025,5911.689941,5968.609863,5578.640137,5625.140137,1.05346E+11
